model,train_accuracy,train_precision_macro,train_recall_macro,train_f1_macro,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,best_param
Linear SVM,0.9695402876974147,0.8943677287851767,0.9400767082800994,0.915937935357629,0.9026897620053513,0.6997385358527942,0.6952042296691374,0.6973888642687461,C=0.5
SGDClassifier,0.9481541092445428,0.8380512851669724,0.8616933193736177,0.8495332581851223,0.9042388396000564,0.7044264943227082,0.6957722627890828,0.6998160891543237,alpha=0.0001
